8018,1647975234362,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page15,enter,0.1702,1961,derprozess-0-2-2-1-10;derprozess-0-2-2-1-12;derprozess-0-2-2-1-13;derprozess-0-2-2-1-14;derprozess-0-2-2-1-15;derprozess-0-2-2-1-16;derprozess-0-2-2-1-17;derprozess-0-2-2-1-18;derprozess-0-2-2-1-19;derprozess-0-2-2-1-20;derprozess-0-2-2-1-8;derprozess-0-2-2-1-9
8019,1647975234879,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page14,enter,0.1596,1850,derprozess-0-2-2-1-10;derprozess-0-2-2-1-12;derprozess-0-2-2-1-13;derprozess-0-2-2-1-14;derprozess-0-2-2-1-15;derprozess-0-2-2-1-5;derprozess-0-2-2-1-6;derprozess-0-2-2-1-7;derprozess-0-2-2-1-8;derprozess-0-2-2-1-9
8020,1647975235446,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page13,enter,0.1489,1819,derprozess-0-2-1-1-1;derprozess-0-2-2-1-1;derprozess-0-2-2-1-10;derprozess-0-2-2-1-3;derprozess-0-2-2-1-4;derprozess-0-2-2-1-5;derprozess-0-2-2-1-6;derprozess-0-2-2-1-7;derprozess-0-2-2-1-8;derprozess-0-2-2-1-9
8021,1647975236079,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page12,enter,0.1383,1178,derprozess-0-2-1-1-1;derprozess-0-2-2-1-1;derprozess-0-2-2-1-3;derprozess-0-2-2-1-4;derprozess-0-2-2-1-5;derprozess-0-2-2-1-6;derprozess-0-2-2-1-7
8022,1647975237130,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page11,enter,0.1277,1439,derprozess-0-1-2-1-21;derprozess-0-2-1-1-1;derprozess-0-2-2-1-1;derprozess-0-2-2-1-3;derprozess-0-2-2-1-4
8023,1647975237548,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page10,enter,0.117,1128,derprozess-0-1-2-1-18;derprozess-0-1-2-1-19;derprozess-0-1-2-1-21
8024,1647975238147,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page9,enter,0.1064,940,derprozess-0-1-2-1-16;derprozess-0-1-2-1-17;derprozess-0-1-2-1-18;derprozess-0-1-2-1-19
8025,1647975238531,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page8,enter,0.0957,1565,derprozess-0-1-2-1-13;derprozess-0-1-2-1-14;derprozess-0-1-2-1-16;derprozess-0-1-2-1-17;derprozess-0-1-2-1-18;derprozess-0-1-2-1-19
8026,1647975210384,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page42,enter,0.4574,1136,derprozess-0-6-2-1-9
8027,1647975211933,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page39,enter,0.4255,984,derprozess-0-6-2-1-5;derprozess-0-6-2-1-6
8028,1647975213568,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page37,enter,0.4043,2448,derprozess-0-5-2-1-4;derprozess-0-5-2-1-5;derprozess-0-6-1-1-1;derprozess-0-6-2-1-1;derprozess-0-6-2-1-3;derprozess-0-6-2-1-4;derprozess-0-6-2-1-5;derprozess-0-6-2-1-6
8029,1647975212367,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page38,enter,0.4149,1827,derprozess-0-6-2-1-4;derprozess-0-6-2-1-5;derprozess-0-6-2-1-6
8030,1647975215836,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page35,enter,0.383,621,derprozess-0-5-2-1-4;derprozess-0-5-2-1-5;derprozess-0-6-1-1-1;derprozess-0-6-2-1-1;derprozess-0-6-2-1-3
8031,1647975215485,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page36,enter,0.3936,1464,derprozess-0-5-2-1-4;derprozess-0-5-2-1-5;derprozess-0-6-1-1-1;derprozess-0-6-2-1-1;derprozess-0-6-2-1-3;derprozess-0-6-2-1-4
8032,1647975216336,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page34,enter,0.3723,4,derprozess-0-5-1-1-1;derprozess-0-5-2-1-1
8033,1647975216886,aad8bc19bda50dcf206b9756a818dbc2,9Gxrc,reader_derprozess,page33,enter,0.3617,291,derprozess-0-4-2-1-8;derprozess-0-4-2-1-9;derprozess-0-5-1-1-1;derprozess-0-5-2-1-1
